,Base CV Avg,Base CV Std,PCA CV Avg,PCA CV Std,CV t-test,CV p-value,Base Ext Avg,Base Ext Std,PCA Ext Avg,PCA Ext Std,Ext t-test,Ext p-value,Base BAcc Avg,Base BAcc Std,PCA BAcc Avg,PCA BAcc Std,BAcc t-test,BAcc p-value,Base BSens Avg,Base BSens Std,PCA BSens Avg,PCA BSens Std,BSens t-test,BSens p-value,Base BSpec Avg,Base BSpec Std,PCA BSpec Avg,PCA BSpec Std,BSpec t-test,BSpec p-value
Accuracy,0.6920535714285713,0.004484765524665085,0.5366666666666666,0.005561874948957932,21.63936220024739,2.126256170833986e-53,0.5779545454545453,0.0026358737789416976,0.5474999999999999,0.0034631322706427095,6.962527775084015,2.8258715295880236e-11,0.5909090909090908,0.003896915499882326,0.5304545454545453,0.004747987829570759,9.792801693457964,6.653887716279578e-19,0.5852272727272727,0.003122416287280472,0.5118181818181817,0.005066499924761007,12.272975807117652,2.6337189549486585e-25,0.5961363636363636,0.003605766158083028,0.536590909090909,0.004755325418382082,9.927771056162733,3.4946985897148547e-19
Sensitivity,0.6968373015873017,0.007654963410827882,0.547390873015873,0.007249190000342158,14.104247734500031,5.273835301421607e-32,0.6022727272727273,0.004084591080820775,0.5954545454545456,0.004657704893617995,1.0950764644479654,0.13741803091222166,0.5227272727272728,0.007859825666268442,0.4390909090909091,0.017215455289548577,4.397248539749027,1.083945703855641e-05,0.48727272727272736,0.0068054426444410536,0.3363636363636365,0.015454545454545453,8.891826146720948,1.626611694961923e-15,0.5613636363636364,0.008166020101464395,0.5613636363636364,0.01752654421345279,0.0,0.5
Specificity,0.7134305555555557,0.006815421428929047,0.5808293650793651,0.008424203526621914,12.175847725941223,7.069664768811048e-26,0.5536363636363637,0.004330365586841652,0.49954545454545474,0.0068482669581857334,6.642350356112185,2.0730220327081566e-10,0.6590909090909092,0.006664944681188711,0.6218181818181817,0.013785247834233502,2.422029566263121,0.008343537937427096,0.6831818181818184,0.006663549546749345,0.6872727272727274,0.011962061239222482,-0.29726513009793804,0.38333100114499025,0.630909090909091,0.007667684685076191,0.5118181818181818,0.015382452168322958,6.894158157573458,7.673531670155008e-11
