,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0.0001155193592266943,0.001594104967562492,0.0011638772693279662,-0.0075434874426068685,0.006206467287178954,-0.0006526486706365086,-0.003614522391992342,-0.00537725028960691,0.0073013277546292495,0.006001584291060543,0.0075870668926101914,-0.018292182706160953,0.007581082891489902,0.020579791893570083,0.006666867220593139,-0.010917356951649197,0.010063074104074409,-0.00319711249358596,-0.010681838683138966,-0.002517741867298261,0.01515665552301986,-0.01253067925078255,-0.021952320522080758,0.003484713709377305,-0.012626782972155125,-0.005364833788859053,0.0040729415612948145
1,-0.005507307532126433,0.0024391636684777352,-0.0026331881104167546,-0.0003681148418326536,0.00656174451497982,-0.005731931420548184,0.0025992744711220636,-0.0042209034287300565,0.004031048506335269,0.007593669646763445,0.004032008152966365,-0.011759942656110692,0.010054258038025858,0.01901805122643251,0.014849382263600885,-0.006512502053749501,0.005815027304549117,-0.004457551472055003,0.002006227633901683,-0.010242930999971537,0.005421773774365698,-0.007154132322338796,-0.017201993233230253,0.013721564318626912,-0.008927908175240059,0.005614279661229259,-0.013367563315710679
2,-0.005328253341587786,-0.0012919346637002076,0.0010688563791813657,-0.003959757554120929,0.0049607506806759565,-0.004747975731086415,0.004090168162487483,-0.007458636735764007,0.012555183609249001,0.0012839499089546136,0.005176627082333779,-0.005652263779366123,0.008635104986874507,0.006162299660121548,0.011355042981586844,0.006024042383033183,0.015509892669703772,0.008815992472708523,-0.007087284464460781,-0.004357355562240731,0.011028176090262366,-0.01436632843027309,-0.022305960284715237,0.004878717076548951,-0.016236267183882224,-0.006801262461838198,-0.019455917429384535
3,-0.0017367673901100458,0.001535872901738715,0.004664517369584104,-0.001263323892065778,0.0018271649977151965,-0.00995693809147959,0.009933680576816956,-0.0005833366240896821,0.0037810204332959963,0.011062282534051749,0.002476732105712009,-0.0016637280045439069,0.014681216376402781,0.01605214918671093,-0.001374877106199083,-0.006244082217740871,0.004252506132440798,-0.00766763871657313,0.0023459008874778193,0.0037843441741529835,0.018209992036868825,-0.0018543444237025752,-0.0183575835892223,0.0037704858547285658,-0.013024689310302835,-0.006267804544796043,-0.006870847290802091
4,-0.004635096451127807,-0.006444947911995233,-0.004397939896156066,0.003528779525425735,-0.0003865206356357349,-0.0033310650511843517,0.004768554866206347,-0.003051281212536694,0.0009308655331544375,0.008038412943712181,-8.60423820419595e-05,-0.013358170704745523,0.01410274223962978,0.007102055045679991,0.011512742302888276,-0.021835808024567416,0.01117710181427625,3.2071863220694054e-05,0.008460654785549516,-0.008230203578394168,0.01205955898872468,-0.011803530698124193,-0.013167013485658094,0.005997840548090963,-0.01065767023341713,0.007220008927411066,0.008588221060626431
5,-0.0038964151855871406,-0.006558962487186717,-0.0035226336937582074,-0.0004495684153842601,0.000333752830452346,-0.009474213037916497,-0.00039667882613826703,-0.006840694960100813,0.005888932989125269,0.0024512056177591313,0.004739514191599055,-0.012658630610150079,0.010261692230078166,0.013118090462778814,-0.0004563585935613657,-0.007561163060976239,0.015404446863619688,0.0015919547318966486,0.0004318393767205708,0.0004915844140992562,0.012982983324666107,-0.0017876308259616763,-0.02126924253222598,0.011340031892611725,-0.011818118719679435,0.013657555452405198,-0.005626664346859218
6,-0.003457667619806285,-0.0010695057660161287,-0.002434407707915228,0.00046987857002959207,0.0057179557274185415,-0.008936498344854533,0.0006186098797089845,0.004157581297046423,0.006268526726680921,0.005700349372699897,0.005199339337934849,-0.003316737292623745,0.012805554168007922,0.013456769745606795,0.005492345084394296,-0.014682788676461065,0.016102019792777846,0.0035531930461674185,-0.0035359193661013174,-0.006770802079721098,0.019916822470631847,-0.00033973540342209025,-0.015148731591644595,-0.0030988327115897478,0.0022776270645345053,0.01024344830813792,-0.0022347841379082266
7,-0.004869599159357114,0.0027095242202092606,0.0017273021183044934,0.008019186740102241,0.010594497133561078,-0.001927070888950978,0.0019664362713216754,0.010168430906315239,0.008769813109517525,-0.001166463691821086,-0.00747310950995328,0.008000979205048591,0.009227815427434227,0.0054866665411635596,0.01128095424467664,-0.008718190862804119,0.00861062859755748,-0.011872806248764484,0.009427697835305553,-0.0032352591832220394,0.014591237135209035,-0.004428915247101654,-0.019563613173834735,-0.005009576043281859,-0.009751508811838455,0.012156921764414628,-0.012420010573648112
8,0.0003063679027617545,0.004126491311161906,-0.009011803780510726,-0.002537043795122501,0.0009841355268170892,0.004937746429731439,0.0007537340928854985,-0.0020368826363361156,-0.008288734157253131,0.0007493605339366068,-0.0010796490688705896,0.008693019260766722,0.005726149138386987,-0.01705722824384709,0.002180438454062794,0.01250112626054537,-0.003473970919686608,-0.009130172187590643,0.0004549932925353241,0.008369966955237262,0.0035085277886940185,0.0004054142414772571,-0.0011239260802578864,-0.014073361073122957,-0.00543374503741847,-0.014177779759675678,-0.004678136553427428
9,-0.004789336910506437,-0.0036735249687324936,-0.0005690478911347372,-0.002548846237419678,-0.0020693715981753074,-0.0037858395161901592,-0.00900776450789874,-0.004855477267801461,0.007653878963295083,-0.010770128722301878,0.01158984025653607,0.0005869679211301973,0.00465178728125317,-0.011716726727808893,-0.016476567257404946,0.001774128239886848,0.0065515277407701975,0.001401921921602586,0.005989186187118218,0.007528636111754249,0.016233500201515837,0.012154493694519057,-0.00922547923657785,-0.0055673946503938575,-0.018047302360942666,-0.0030578292455296285,-0.0234578555364927
